Ward,Total_Population,Ward_Name,Latitude,Longitude
1,92644,Aundh,18.559,73.807
2,92640,Baner,18.5596,73.7868
3,92410,Bavdhan,18.5074,73.782
4,97187,Kothrud,18.5074,73.8077
5,91381,Karve Nagar,18.4933,73.821
6,77606,Warje Malwadi,18.4875,73.7997
7,89957,Shivajinagar,18.5308,73.8475
8,89693,Ghole Road,18.5286,73.8493
9,90903,Bhavani Peth,18.5167,73.8625
10,84127,Kondhwa,18.4575,73.8919
11,76204,Wanowrie,18.4856,73.9
12,77669,Hadapsar,18.5089,73.926
13,88569,Mundhwa,18.5339,73.9486
14,92092,Kharadi,18.5511,73.9422
15,88586,Vadgaon Sheri,18.5602,73.9198
16,92232,Yerwada,18.5486,73.8796
17,92842,Vishrantwadi,18.5735,73.8746
18,84763,Dhanori,18.5813,73.8912
19,84619,Lohegaon,18.5995,73.9168
20,78980,Viman Nagar,18.5679,73.9143
21,80082,Kalyani Nagar,18.5481,73.9046
22,79703,Koregaon Park,18.5362,73.8958
23,76984,Camp,18.5132,73.8766
24,76233,Kasba Peth,18.5194,73.8553
25,76262,Budhwar Peth,18.5176,73.8567
26,76264,Rasta Peth,18.5189,73.868
27,76111,Bibwewadi,18.4666,73.8664
28,76550,Parvati,18.4885,73.8561
29,76194,Sahakarnagar,18.4786,73.8486
30,76903,Dhankawadi,18.4564,73.8509
31,83098,Sinhagad Road,18.4748,73.8233
32,82537,Narhe,18.4529,73.8215
33,87814,Ambegaon,18.4542,73.8363
34,83867,Dattawadi,18.4956,73.8473
35,78493,Sadashiv Peth,18.5109,73.849
36,84660,Tilak Road,18.5091,73.8557
37,88253,Katraj,18.4467,73.857
38,123981,Undri,18.4603,73.8954
39,78826,Mohammadwadi,18.4709,73.9004
40,76498,Pashan,18.5403,73.791
41,86962,Balewadi,18.5702,73.7935
,,,,
1,65320,Nigdi,18.6515,73.7645
2,57694,Akurdi,18.6482,73.7769
3,51628,Chinchwad Gaon,18.6279,73.7997
4,55539,Thergaon,18.6173,73.7767
5,49049,Wakad,18.5996,73.7707
6,52565,Ravet,18.6519,73.7455
7,53622,Bhosari,18.623,73.8467
8,50164,Charholi Budruk,18.6356,73.8897
9,59390,Dighi,18.605,73.8768
10,55699,Moshi,18.6737,73.839
11,52878,Alandi,18.6766,73.8983
12,49142,Chikhali,18.6761,73.8106
13,55074,Talwade,18.6697,73.8333
14,56427,Pimple Saudagar,18.597,73.807
15,51856,Pimple Gurav,18.588,73.8134
16,59330,Sangvi,18.5793,73.8237
17,59089,Rahatani,18.6001,73.7944
18,55012,Pimple Nilakh,18.5923,73.7896
19,54769,Kalewadi,18.6155,73.8027
20,53549,Pimpri Gaon,18.6224,73.8061
21,56800,Nehrunagar,18.6179,73.8221
22,58710,Ajmera–Morwadi,18.6248,73.8239
23,49848,Chinchwad East,18.6352,73.8166
24,47528,Bhosari MIDC,18.6209,73.8584
25,52679,Dapodi,18.5804,73.8302
26,49847,Kasarwadi,18.5901,73.8416
27,50321,Phugewadi,18.5936,73.8572
28,51550,Wakad–Hinjewadi,18.5907,73.7408
29,49146,Maan–Hinjewadi,18.5893,73.7066
30,57004,Punawale,18.6312,73.7487
31,51849,Tathawade,18.6214,73.7635
32,54614,Pimple Chinchwad Central,18.6185,73.814
,,,,
